day;consumption
2015-01-01;23,203500000000002
2015-01-02;17,422
2015-01-03;24,67725
2015-01-04;24,22225
2015-01-05;22,522
2015-01-06;22,631249999999998
2015-01-07;24,33725
2015-01-08;20,69175
2015-01-09;22,4625
2015-01-10;30,00025
2015-01-11;25,38375
2015-01-12;18,66125
2015-01-13;18,537
2015-01-14;17,92925
2015-01-15;22,96125
2015-01-16;20,191
2015-01-17;26,853
2015-01-18;24,75625
2015-01-19;17,56375
2015-01-20;16,712
2015-01-21;18,1555
2015-01-22;19,55975
2015-01-23;22,0425
2015-01-24;34,7975
2015-01-25;26,251250000000002
2015-01-26;21,473499999999998
2015-01-27;20,96175
2015-01-28;10,49075
2015-01-29;6,96575
2015-01-30;7,142
2015-01-31;7,09875
2015-02-01;6,9295
2015-02-02;7,324
2015-02-03;6,92925
2015-02-04;6,8945
2015-02-05;7,3635
2015-02-06;9,64375
2015-02-07;9,796
2015-02-08;8,668
2015-02-09;11,23025
2015-02-10;8,26975
2015-02-11;10,1005
2015-02-12;10,289
2015-02-13;8,19875
2015-02-14;12,6005
2015-02-15;10,34525
2015-02-16;10,59
2015-02-17;9,0655
2015-02-18;9,28175
2015-02-19;10,8375
2015-02-20;8,04325
2015-02-21;11,5585
2015-02-22;9,51625
2015-02-23;11,4125
2015-02-24;8,34425
2015-02-25;10,6645
2015-02-26;13,17025
2015-02-27;14,1525
2015-02-28;26,636
2015-03-01;20,87225
2015-03-02;22,35525
2015-03-03;23,28
2015-03-04;18,771250000000002
2015-03-05;17,432000000000002
2015-03-06;22,133
2015-03-07;25,04675
2015-03-08;23,93075
2015-03-09;19,89425
2015-03-10;20,81025
2015-03-11;17,143250000000002
2015-03-12;6,752
2015-03-13;14,8225
2015-03-14;25,03925
2015-03-15;21,902
2015-03-16;19,7
2015-03-17;24,71375
2015-03-18;18,703
2015-03-19;20,50275
2015-03-20;16,96175
2015-03-21;30,5015
2015-03-22;23,145500000000002
2015-03-23;19,791
2015-03-24;20,14
2015-03-25;18,09525
2015-03-26;19,21275
2015-03-27;23,34075
2015-03-28;24,329
2015-03-29;24,477
2015-03-30;19,48825
2015-03-31;20,148999999999997
2015-04-01;21,27925
2015-04-02;21,5715
2015-04-03;23,873
2015-04-04;23,21725
2015-04-05;23,713
2015-04-06;27,209
2015-04-07;18,81975
2015-04-08;18,61025
2015-04-09;18,258499999999998
2015-04-10;18,29425
2015-04-11;26,51275
2015-04-12;22,45225
2015-04-13;20,3055
2015-04-14;20,75275
2015-04-15;16,7215
2015-04-16;16,3645
2015-04-17;19,469
2015-04-18;25,14275
2015-04-19;22,91875
2015-04-20;16,889
2015-04-21;22,55075
2015-04-22;16,26575
2015-04-23;23,00975
2015-04-24;18,93025
2015-04-25;25,99575
2015-04-26;23,20725
2015-04-27;18,09125
2015-04-28;19,45625
2015-04-29;16,247
2015-04-30;20,418
2015-05-01;20,7465
2015-05-02;24,50475
2015-05-03;22,12375
2015-05-04;19,805500000000002
2015-05-05;19,85775
2015-05-06;18,0275
2015-05-07;19,049
2015-05-08;18,8095
2015-05-09;26,438
2015-05-10;21,9965
2015-05-11;15,616
2015-05-12;17,776
2015-05-13;18,4395
2015-05-14;22,678
2015-05-15;18,85525
2015-05-16;23,402
2015-05-17;23,464000000000002
2015-05-18;18,13575
2015-05-19;22,7205
2015-05-20;17,96675
2015-05-21;19,67625
2015-05-22;19,9875
2015-05-23;25,28475
2015-05-24;22,909499999999998
2015-05-25;21,18225
2015-05-26;20,34525
2015-05-27;17,2545
2015-05-28;22,0565
2015-05-29;22,43125
2015-05-30;24,59575
2015-05-31;23,59125
2015-06-01;21,643
2015-06-02;15,34725
2015-06-03;15,82325
2015-06-04;18,393250000000002
2015-06-05;20,812
2015-06-06;19,031
2015-06-07;20,78575
2015-06-08;16,22775
2015-06-09;17,8085
2015-06-10;16,07275
2015-06-11;19,02925
2015-06-12;18,1665
2015-06-13;24,04525
2015-06-14;22,41575
2015-06-15;19,99875
2015-06-16;20,632
2015-06-17;18,41225
2015-06-18;16,28175
2015-06-19;21,28925
2015-06-20;22,074
2015-06-21;20,95225
2015-06-22;18,362750000000002
2015-06-23;18,604
2015-06-24;14,962
2015-06-25;12,259500000000001
2015-06-26;17,26475
2015-06-27;16,62475
2015-06-28;20,56825
2015-06-29;16,0245
2015-06-30;14,49225
2015-07-01;14,21625
2015-07-02;18,14325
2015-07-03;15,1385
2015-07-04;26,453
2015-07-05;17,99975
2015-07-06;16,61475
2015-07-07;16,86375
2015-07-08;17,544999999999998
2015-07-09;15,581
2015-07-10;16,27675
2015-07-11;18,75825
2015-07-12;19,37975
2015-07-13;15,45225
2015-07-14;15,3385
2015-07-15;18,586000000000002
2015-07-16;18,9325
2015-07-17;15,828
2015-07-18;18,89425
2015-07-19;19,63425
2015-07-20;15,2935
2015-07-21;17,0445
2015-07-22;14,98925
2015-07-23;17,011
2015-07-24;14,5775
2015-07-25;17,2085
2015-07-26;19,342
2015-07-27;17,285
2015-07-28;17,733999999999998
2015-07-29;15,732000000000001
2015-07-30;19,826
2015-07-31;14,2935
2015-08-01;20,56575
2015-08-02;20,008
2015-08-03;20,5185
2015-08-04;15,627
2015-08-05;17,91025
2015-08-06;20,729499999999998
2015-08-07;15,48675
2015-08-08;17,0205
2015-08-09;18,583
2015-08-10;21,54075
2015-08-11;17,07725
2015-08-12;16,6565
2015-08-13;17,59825
2015-08-14;18,66125
2015-08-15;18,74275
2015-08-16;20,55325
2015-08-17;14,5895
2015-08-18;14,34525
2015-08-19;17,647750000000002
2015-08-20;18,46575
2015-08-21;17,61
2015-08-22;22,21725
2015-08-23;22,03725
2015-08-24;13,42475
2015-08-25;16,1395
2015-08-26;15,469000000000001
2015-08-27;21,26975
2015-08-28;14,917
2015-08-29;20,0505
2015-08-30;20,15775
2015-08-31;14,65175
2015-09-01;18,24125
2015-09-02;16,318
2015-09-03;16,87
2015-09-04;15,89375
2015-09-05;23,467000000000002
2015-09-06;22,571749999999998
2015-09-07;12,98225
2015-09-08;14,0685
2015-09-09;13,92975
2015-09-10;16,36775
2015-09-11;16,1745
2015-09-12;20,37825
2015-09-13;22,313
2015-09-14;13,874500000000001
2015-09-15;16,3295
2015-09-16;16,28725
2015-09-17;17,361250000000002
2015-09-18;19,32225
2015-09-19;21,65425
2015-09-20;24,859
2015-09-21;16,11675
2015-09-22;15,797
2015-09-23;16,934
2015-09-24;19,297250000000002
2015-09-25;19,32925
2015-09-26;17,88525
2015-09-27;25,28175
2015-09-28;14,773
2015-09-29;15,84175
2015-09-30;17,26625
2015-10-01;20,44075
2015-10-02;18,1205
2015-10-03;22,2875
2015-10-04;23,163
2015-10-05;15,8855
2015-10-06;16,049500000000002
2015-10-07;15,02525
2015-10-08;18,852
2015-10-09;19,7365
2015-10-10;24,52375
2015-10-11;22,489
2015-10-12;12,7845
2015-10-13;16,485500000000002
2015-10-14;14,704
2015-10-15;20,28775
2015-10-16;20,55925
2015-10-17;22,71875
2015-10-18;20,194
2015-10-19;14,70875
2015-10-20;18,17875
2015-10-21;15,4285
2015-10-22;20,1005
2015-10-23;13,581
2015-10-24;21,50075
2015-10-25;22,64975
2015-10-26;22,63775
2015-10-27;17,4045
2015-10-28;18,869500000000002
2015-10-29;15,60225
2015-10-30;18,24325
2015-10-31;26,3065
2015-11-01;22,9065
2015-11-02;14,428249999999998
2015-11-03;17,3475
2015-11-04;14,130749999999999
2015-11-05;14,304
2015-11-06;19,611250000000002
2015-11-07;27,16325
